Unit,eGRID2018SeqNumber,FixedCost,VariableCost,StartUpCost,ShutdownCost,MinPowerOut,MaxPowerOut,RampDownLimit,RampShutDownLimit,RampUpLimit,RampStartUpLimit,Uini,PowerIni
62,16338,640.10784,63.0753648,13975.97072,461,54.8,109.6,109.6,109.6,109.6,109.6,0,0
63,16339,640.10784,63.0753648,13975.97072,472,54.8,109.6,109.6,109.6,109.6,109.6,0,0
64,16340,640.10784,63.0753648,13975.97072,579,54.8,109.6,109.6,109.6,109.6,109.6,0,0
65,16341,640.10784,63.0753648,13975.97072,203,54.8,109.6,109.6,109.6,109.6,109.6,0,0
66,16342,640.10784,63.0753648,13975.97072,163,54.8,109.6,109.6,109.6,109.6,109.6,0,0
67,16343,640.10784,63.0753648,13975.97072,562,54.8,109.6,109.6,109.6,109.6,109.6,0,0
68,16344,640.10784,63.0753648,13975.97072,684,54.8,109.6,109.6,109.6,109.6,109.6,0,0
69,16345,640.10784,63.0753648,13975.97072,204,54.8,109.6,109.6,109.6,109.6,109.6,0,0
70,16346,640.10784,63.0753648,13975.97072,146,54.8,109.6,109.6,109.6,109.6,109.6,0,0
71,16347,640.10784,63.0753648,13975.97072,237,54.8,109.6,109.6,109.6,109.6,109.6,0,0
72,16348,640.10784,63.0753648,13975.97072,195,54.8,109.6,109.6,109.6,109.6,109.6,0,0
73,16373,565.964,23.1913606,29457.85501,1434,139.4,348.5,348.5,348.5,348.5,348.5,1,139.4
74,16374,565.964,23.1913606,29457.85501,1072,139.4,348.5,348.5,348.5,348.5,348.5,1,139.4
75,16375,2490.7752,23.1913606,60099.09588,1765,284.4,711,711,711,711,711,1,284.4
76,16376,2490.7752,23.1913606,60099.09588,1285,284.4,711,711,711,711,711,1,284.4
77,16385,2673.64224,28.88174123,66673.87282,1932,305.28,763.2,763.2,763.2,763.2,763.2,1,305.28
78,16425,87.606,66.3497645,388.5,17,4.5,15,15,15,15,15,0,0
79,16426,87.606,66.3497645,388.5,11,4.5,15,15,15,15,15,0,0
80,16481,32.70624,45.37027808,145.04,6,1.68,5.6,5.6,5.6,5.6,5.6,0,0
81,16482,32.70624,45.37027808,145.04,5,1.68,5.6,5.6,5.6,5.6,5.6,0,0
82,16615,1141.7982,49.95263131,24906.66353,501,97.75,195.5,195.5,195.5,195.5,195.5,0,0
83,16616,1141.7982,49.95263131,24906.66353,1208,97.75,195.5,195.5,195.5,195.5,195.5,0,0
84,16617,1141.7982,49.95263131,24906.66353,465,97.75,195.5,195.5,195.5,195.5,195.5,0,0
85,16618,1141.7982,49.95263131,24906.66353,803,97.75,195.5,195.5,195.5,195.5,195.5,0,0
86,16619,1141.7982,49.95263131,24906.66353,725,97.75,195.5,195.5,195.5,195.5,195.5,0,0
87,16633,1164.57576,34.47887096,25375.73878,359,99.7,199.4,199.4,199.4,199.4,199.4,0,0
88,16634,1164.57576,34.47887096,25375.73878,1086,99.7,199.4,199.4,199.4,199.4,199.4,0,0
89,16635,1164.57576,34.47887096,25375.73878,950,99.7,199.4,199.4,199.4,199.4,199.4,0,0
90,16636,1352.41056,34.47887096,12241.34554,243,99.7,199.4,199.4,199.4,199.4,199.4,0,0
91,16637,1352.41056,34.47887096,12241.34554,149,99.7,199.4,199.4,199.4,199.4,199.4,0,0
92,16638,1322.568,34.47887096,11971.22558,228,97.5,195,195,195,195,195,0,0
93,16640,1439.11456,24.58874925,35009.75461,1527,164.32,410.8,410.8,410.8,410.8,410.8,1,164.32
94,16641,2301.6024,24.58874925,55991.74484,1452,262.8,657,657,657,657,657,1,262.8
95,16642,2610.58464,24.58874925,63508.44483,662,298.08,745.2,745.2,745.2,745.2,745.2,0,0
96,16643,2610.58464,24.58874925,63508.44483,3019,298.08,745.2,745.2,745.2,745.2,745.2,1,298.08
97,16703,1164.57576,38.30877436,25382.61559,1196,99.7,199.4,199.4,199.4,199.4,199.4,0,0
98,16704,1164.57576,38.30877436,25382.61559,800,99.7,199.4,199.4,199.4,199.4,199.4,0,0
99,16705,1164.57576,38.30877436,25382.61559,873,99.7,199.4,199.4,199.4,199.4,199.4,0,0
100,16706,1164.57576,38.30877436,25382.61559,867,99.7,199.4,199.4,199.4,199.4,199.4,0,0
101,16707,1296.79488,38.30877436,11809.9576,561,95.6,191.2,191.2,191.2,191.2,191.2,0,0
102,16708,1164.57576,38.30877436,25382.61559,472,99.7,199.4,199.4,199.4,199.4,199.4,0,0
103,16709,1352.41056,38.30877436,12316.4516,415,99.7,199.4,199.4,199.4,199.4,199.4,0,0
104,16710,1352.41056,38.30877436,12316.4516,577,99.7,199.4,199.4,199.4,199.4,199.4,0,0
105,16711,1296.79488,38.30877436,11809.9576,330,95.6,191.2,191.2,191.2,191.2,191.2,0,0
106,16712,1325.9592,38.30877436,12075.55812,321,97.75,195.5,195.5,195.5,195.5,195.5,0,0
107,16713,1838.70864,38.30877436,16745.1857,389,135.55,271.1,271.1,271.1,271.1,271.1,0,0
108,16841,45.472,14.2675823,4817.586711,174,9.24,28,28,28,28,28,1,9.24
109,16922,1140.04608,54.48321351,24876.40716,780,97.6,195.2,195.2,195.2,195.2,195.2,0,0
110,16923,1140.04608,54.48321351,24876.40716,624,97.6,195.2,195.2,195.2,195.2,195.2,0,0
111,16924,1140.04608,54.48321351,24876.40716,518,97.6,195.2,195.2,195.2,195.2,195.2,0,0
112,16925,1140.04608,54.48321351,24876.40716,741,97.6,195.2,195.2,195.2,195.2,195.2,0,0
113,16926,1161.65556,54.48321351,25347.93742,1198,99.45,198.9,198.9,198.9,198.9,198.9,0,0
114,22666,1150.5588,48.66868409,25095.4856,964,98.5,197,197,197,197,197,0,0
115,22667,1150.5588,48.66868409,25095.4856,1242,98.5,197,197,197,197,197,0,0
116,22668,1150.5588,48.66868409,25095.4856,833,98.5,197,197,197,197,197,0,0
117,22669,1150.5588,48.66868409,25095.4856,1130,98.5,197,197,197,197,197,0,0
118,22670,1150.5588,48.66868409,25095.4856,437,98.5,197,197,197,197,197,0,0
119,22688,13.83327,26.71905026,361.8800007,4,1.65,5.5,5.5,5.5,5.5,5.5,0,0
120,22690,47.78766,26.71905026,1250.130912,25,5.7,19,19,19,19,19,1,5.7
121,22701,32.1222,73.64395349,142.45,7,1.65,5.5,5.5,5.5,5.5,5.5,0,0
122,22712,406.944,36.72550329,3696.711025,146,30,60,60,60,60,60,0,0
123,22713,279.43488,36.72550329,2538.408237,77,20.6,41.2,41.2,41.2,41.2,41.2,0,0
124,22747,390.13872,62.52944815,8517.872754,400,33.4,66.8,66.8,66.8,66.8,66.8,0,0
125,22749,922.7832,62.52944815,20147.0643,257,79,158,158,158,158,158,0,0
126,22750,922.7832,62.52944815,20147.0643,642,79,158,158,158,158,158,0,0
