Hour,Demand,Reserves
404,23448,2129
405,23050,1527
406,22043,1403
407,20748,1039
408,19524,1348
409,18757,1375
410,18394,1427
411,18274,1141
412,18316,1058
413,18812,1365
414,20146,1158
415,22235,1203
416,23154,1344
417,22751,1720
418,22109,1616
419,21374,1522
420,20584,1258
421,19730,1540
422,19079,1511
423,18419,1783
424,18103,919
425,18365,1133
426,19517,1787
427,20612,1141
428,20629,1925
429,20523,1788
430,20136,1147
431,19382,1583
432,18480,1114
433,17765,1601
434,17324,1092
435,17085,1230
436,17020,910
437,17217,1656
438,17663,1417
439,18418,1006
440,19287,991
441,20031,1595
442,20436,1901
443,20505,1638
444,20252,2025
445,19929,1447
446,19474,1288
447,19091,1569
448,18885,1518
449,18902,1407
450,19554,1608
451,19769,1417
452,19296,1441
453,18776,1408
454,17993,1536
455,17038,1642
456,16055,1310
457,15182,1352
458,14605,1022
459,14251,1038
460,14064,1221
461,14221,1093
462,14671,1069
463,15477,1306
464,16610,1496
465,17811,945
466,18424,959
467,18494,1209
468,18231,1543
469,18084,1253
470,17962,1298
471,17869,1262
472,18145,999
473,19145,1785
474,21179,1639
475,23252,2234
476,23983,1819
477,24338,1389
478,24248,1643
479,24102,1810
480,23880,1939
481,23810,1697
482,24052,1359
483,24561,2133
484,25295,1276
485,26364,1824
486,28047,1525
487,29866,1865
488,31093,2701
489,31134,2102
490,30399,2245
491,29327,2822
492,27913,2074
493,26610,2132
494,25543,1303
495,24675,1745
496,24393,1713
497,25022,1649
498,26949,1910
499,28953,2015
500,29483,2331
501,29598,2620
502,29116,2596
503,28280,1591
504,27534,1900
505,27534,1900
506,27534,1900
507,27534,1900
508,27534,1900
509,27534,1900
510,27534,1900
511,27534,1900
512,27534,1900
513,27534,1900
514,27534,1900
515,27534,1900
516,27534,1900
517,27534,1900
518,27534,1900
519,27534,1900
520,27534,1900
521,27534,1900
522,27534,1900
523,27534,1900
524,27534,1900
525,27534,1900
526,27534,1900
527,27534,1900
528,27534,1900
529,27534,1900
530,27534,1900
531,27534,1900
532,27534,1900
533,27534,1900
534,27534,1900
535,27534,1900
536,26230,1319
537,25712,1948
538,24962,1582
539,24100,1336
540,23224,1498
541,22202,1417
542,21395,1332
543,20651,1866
544,20356,1062
545,20550,1050
546,21451,1325
547,22154,1226
548,21754,1934
549,21144,1529
550,20049,1306
551,18549,1275
552,17136,1461
553,16093,1543
554,15454,918
555,14930,797
556,14896,773
557,15147,1352
558,16252,1062
559,18199,1540
560,19195,1164
561,19018,1364
562,18980,1010
563,18774,1856
564,18407,1388
565,17996,1450
566,17756,1561
567,17487,1537
568,17461,912
569,17893,1275
570,19016,1710
571,20684,1250
572,21253,1938
573,21364,1804
574,21040,1173
575,20311,1763
576,19665,1421
577,19468,1495
578,19683,1345
579,20001,1504
580,20579,1876
581,21516,2138
582,23395,1758
583,26168,1667
584,27369,1728
585,26623,1745
586,24792,2052
587,22950,1740
588,21732,1653
589,20544,1991
590,19829,1006
591,19219,1900
592,18983,1041
593,19470,1012
594,20969,1946
595,22735,1319
596,23317,2289
597,23684,1367
598,23713,1216
599,23327,1971
600,23019,1743
601,22858,2241
602,23036,1185
603,23451,2162
604,24010,1937
605,24761,2142
606,25784,1542
607,27008,1564
608,28108,1985
609,27938,1911
610,25683,1817
611,23250,2073
612,21452,1171
613,19986,1906
614,18864,1543
615,18150,1137
616,17871,1233
617,18306,1329
618,19624,1962
619,21493,1571
620,22080,2190
621,22468,2052
622,22528,1239
623,22265,2206
624,21923,1551
625,21751,2107
626,21842,1782
627,22183,1572
628,22568,1549
629,23246,1302
630,24028,1280
631,25024,1594
632,26059,1624
633,26412,1323
634,25022,1413
635,22931,2088
636,21059,1695
637,19920,1923
638,19264,1259
639,19143,1692
640,19238,1494
641,19643,1455
642,20795,1863
643,21922,1535
644,22053,1323
645,21832,1109
646,21179,1134
647,20197,1069
648,19322,1181
649,18794,1026
650,18701,1029
651,18866,1651
652,19205,1143
653,20103,1285
654,21855,1396
655,24359,2276
656,25559,1426
657,25189,1632
658,23928,1714
659,22627,1983
660,21493,1166
661,20430,1094
662,19735,1068
663,19201,1473
664,18987,971
665,19307,1293
666,20718,1350
667,22688,1235
668,23185,1553
669,23123,2013
670,22438,2085
671,21306,1191
672,20185,1311
673,19464,1914
674,19183,1726
675,19191,1773
676,19277,1437
677,19733,1554
678,21088,1176
679,23215,2030
680,23923,1199
681,23279,1205
682,22391,1549
683,21848,1483
684,21263,1307
685,20830,1272
686,20768,1952
687,20700,1096
688,20774,1693
689,21241,1394
690,22285,2028
691,23913,1216
692,24318,2049
693,24426,2082
694,23956,1683
695,23197,1415
696,22583,1130
697,22447,1712
698,22699,2127
699,23215,1308
700,23904,2039
701,25107,1602
702,27106,1469
703,29935,2469
704,31033,1583
705,29809,2622
706,27557,2680
707,25718,2487
708,24266,1821
709,23109,1548
710,22313,1155
711,21751,1401
712,21749,2010
713,22431,1208
714,24084,1966
715,26080,1977
716,26560,2440
717,26671,2408
718,26193,1991
719,25214,2508
720,24545,1988
721,24310,2301
722,24516,1770
723,24914,1779
724,25504,1901
725,26457,1654
726,28283,2766
727,30806,2522
728,31611,3101
729,30569,1586
730,28608,1550
731,26724,2409
732,24980,1961
733,23468,1252
734,22373,1631
735,21537,1807
736,21209,1566
737,21686,1456
738,23274,1212
739,25515,1660
740,26361,1584
741,26602,1894
742,26168,1971
743,25241,1838
744,24447,2188
745,24040,1306
746,24122,1443
747,24291,1590
748,24616,1264
749,25330,1974
750,26859,2216
751,29007,1863
752,29515,2428
753,28195,1975
754,25813,1930
755,23266,1876
756,21452,1719
757,20221,1212
758,19423,1510
759,18780,1658
760,18459,1235
761,18642,1098
762,19617,1891
763,20830,1720
764,20925,1796
765,20818,1448
766,20399,1608
767,19831,1558
768,19037,1370
769,18567,1756
770,18534,1669
771,18825,1799
772,19360,1255
773,20126,1172
774,21093,1131
775,22391,1140
776,23513,1759
777,23646,1906
778,22160,2107
779,20451,1417
780,18924,1440
781,17677,1716
782,16702,1501
783,16151,1518
784,15949,1436
