UNIT,UNIT_NAME,CC_KEY,UNIT_ID,PORTFOLIO_NAME,UNIT_TYPE,ColdStart_Hours,ColdStartU_HeatRate,ColdStartU_FixedCost,WarmStart_Hours,WarmStartU_HeatRate,WarmStartU_FixedCost,HotStart_Hours,HotStartU_HeatRate,HotStartU_FixedCost,ShutdownCost,NoLoadHR,MinPowerOut,MaxPowerOut,IHRC_B1_Q,IHRC_B1_HR,IHRC_B2_Q,IHRC_B2_HR,IHRC_B3_Q,IHRC_B3_HR,IHRC_B4_Q,IHRC_B4_HR,IHRC_B5_Q,IHRC_B5_HR,IHRC_B6_Q,IHRC_B6_HR,IHRC_B7_Q,IHRC_B7_HR,SpinningRes_Limit,RegDownRes_Limit,RegUpRes_Limit,NonSpinningRes_Limit,BalancingRes_Limit,RampDownLimit,RampShutDownLimit,RampUpLimit,RampStartUpLimit,MinUpTime,MinDownTime,UpTimeInit,DownTimeInit,FastStart,Nuclear,NaturalGasFired,PowerInit,StatusInit
66,MARD_UN04,0,MARD_UN04_0,DEC,Steam,144,8026,0,76,7229,0,8,5140,0,127000,484.9150152,270,660,135,8.16285,135,8.18895,98,8.2518,97,8.3591,97,8.5285,98,8.77655,132,9.2002,300,50,50,0,300,300,300,300,300,72,24,0,500,0,0,0,0,0
67,MAYO_UN01,1,MAYO_UN01_1,PEC,Steam Dual Boiler,144,7356,0,36,4731,0,8,2098,0,75900,539.9123,105,373,52,8.6806,53,8.68315,62,8.69305,62,8.71675,62,8.76045,62,8.83045,71,8.9433,180,30,30,0,180,240,240,240,240,72,12,0,500,0,0,0,0,0
68,MAYO_UN01,2,MAYO_UN01_2,PEC,Steam Dual Boiler,144,3033,0,36,2685,0,8,3034,0,62100,539.9123,45,373,75,8.6812,75,8.6886,149,8.7462,149,8.9355,149,9.3425,149,10.05405,149,11.15695,180,30,30,0,180,240,240,240,240,18,1,0,500,0,0,0,0,0
69,MCGU_UN01,0,MCGU_UN01_0,DEC,Nuclear,72,0,0,32,0,0,8,0,0,0,1538.58,1199,1199,325,8.58,325,8.58,137,8.58,137,8.58,138,8.58,137,8.58,240,8.58,0,0,0,0,0,1199,1199,1199,1199,120,5,10,0,0,1,0,1199,1
70,MCGU_UN02,0,MCGU_UN02_0,DEC,Nuclear,72,0,0,32,0,0,8,0,0,0,1039.06,1187,1187,325,9.06,325,9.06,134,9.06,135,9.06,134,9.06,134,9.06,238,9.06,0,0,0,0,0,1187,1187,1187,1187,120,5,10,0,0,1,0,1187,1
71,MILL_CT01,0,MILL_CT01_0,DEC,Peaker,72,21,2533,32,21,2533,8,21,2533,0,186.767,92,92,46,9.859,46,12.19505,1,14.3161,1,14.4718,0,14.5505,1,14.63085,19,16.58375,0,0,0,92,0,92,92,92,92,1,1,0,500,1,0,1,0,0
72,MILL_CT02,0,MILL_CT02_0,DEC,Peaker,72,21,2533,32,21,2533,8,21,2533,0,186.767,92,92,46,9.859,46,12.19505,1,14.3161,1,14.4718,0,14.5505,1,14.63085,19,16.58375,0,0,0,92,0,92,92,92,92,1,1,0,500,1,0,1,0,0
73,MILL_CT03,0,MILL_CT03_0,DEC,Peaker,72,21,2533,32,21,2533,8,21,2533,0,186.767,92,92,46,9.859,46,12.19505,1,14.3161,1,14.4718,0,14.5505,1,14.63085,19,16.58375,0,0,0,92,0,92,92,92,92,1,1,0,500,1,0,1,0,0
74,MILL_CT04,0,MILL_CT04_0,DEC,Peaker,72,21,2533,32,21,2533,8,21,2533,0,186.767,92,92,46,9.859,46,12.19505,1,14.3161,1,14.4718,1,14.63085,1,14.7933,19,16.7838,0,0,0,92,0,92,92,92,92,1,1,0,500,1,0,1,0,0
75,MILL_CT05,0,MILL_CT05_0,DEC,Peaker,72,21,2533,32,21,2533,8,21,2533,0,186.767,90,90,46,9.859,46,12.19505,1,14.3161,1,14.4718,1,14.63085,1,14.7933,19,16.7838,0,0,0,90,0,90,90,90,90,1,1,0,500,1,0,1,0,0
76,MILL_CT06,0,MILL_CT06_0,DEC,Peaker,72,21,2533,32,21,2533,8,21,2533,0,186.767,92,92,46,9.859,46,12.19505,0,14.2391,0,14.2391,0,14.2391,0,14.2391,19,16.00595,0,0,0,92,0,92,92,92,92,1,1,0,500,1,0,1,0,0
77,MILL_CT07,0,MILL_CT07_0,DEC,Peaker,72,21,2533,32,21,2533,8,21,2533,0,186.767,92,92,46,9.859,46,12.19505,1,14.3161,1,14.4718,0,14.5505,1,14.63085,19,16.58375,0,0,0,92,0,92,92,92,92,1,1,0,500,1,0,1,0,0
78,MILL_CT08,0,MILL_CT08_0,DEC,Peaker,72,21,2533,32,21,2533,8,21,2533,0,186.767,93,93,46,9.859,46,12.19505,1,14.3161,0,14.3931,0,14.3931,0,14.3931,19,16.19485,0,0,0,93,0,93,93,93,93,1,1,0,500,1,0,1,0,0
79,MISC_CG01,0,MISC_CG01_0,PEC,Cogen,72,0,0,32,0,0,8,0,0,0,99,0,0,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,0,0,0,0,0,0,0,0,100,100,0,500,0,0,0,0,0
80,NCAP_CT01,0,NCAP_CT01_0,PEC,Peaker,72,50,0,32,50,0,8,50,0,0,10.2,56,56,28,10.2,28,10.2,0,10.2,0,10.2,0,10.2,0,10.2,11,10.2,0,0,0,56,0,56,56,56,56,3,2,0,500,1,0,0,0,0
81,NCAP_CT02,0,NCAP_CT02_0,PEC,Peaker,72,50,0,32,50,0,8,50,0,0,10.2,56,56,28,10.2,28,10.2,0,10.2,0,10.2,0,10.2,0,10.2,11,10.2,0,0,0,56,0,56,56,56,56,3,2,0,500,1,0,0,0,0
82,NCAP_CT03,0,NCAP_CT03_0,PEC,Peaker,72,50,0,32,50,0,8,50,0,0,10.2,56,56,28,10.2,28,10.2,0,10.2,0,10.2,0,10.2,0,10.2,11,10.2,0,0,0,56,0,56,56,56,56,3,2,0,500,1,0,0,0,0
83,NCAP_CT04,0,NCAP_CT04_0,PEC,Peaker,72,50,0,32,50,0,8,50,0,0,10.2,56,56,28,10.2,28,10.2,0,10.2,0,10.2,0,10.2,0,10.2,11,10.2,0,0,0,56,0,56,56,56,56,3,2,0,500,1,0,0,0,0
84,NCAP_CT05,0,NCAP_CT05_0,PEC,Peaker,72,50,0,32,50,0,8,50,0,0,10.2,56,56,28,10.2,28,10.2,0,10.2,0,10.2,0,10.2,0,10.2,11,10.2,0,0,0,56,0,56,56,56,56,3,2,0,500,1,0,0,0,0
85,NCAP_CT06,0,NCAP_CT06_0,PEC,Peaker,72,50,0,32,50,0,8,50,0,0,10.2,56,56,28,10.2,28,10.2,0,10.2,0,10.2,0,10.2,0,10.2,11,10.2,0,0,0,56,0,56,56,56,56,3,2,0,500,1,0,0,0,0
86,NCHP_CT01,0,NCHP_CT01_0,PEC,Peaker,72,50,1750,32,50,1750,8,50,1750,0,11,56,56,28,11,28,11,0,11,0,11,0,11,0,11,11,11,0,0,0,56,0,56,56,56,56,3,2,0,500,1,0,0,0,0
87,NCHP_CT02,0,NCHP_CT02_0,PEC,Peaker,72,50,0,32,50,0,8,50,0,0,11,56,56,28,11,28,11,0,11,0,11,0,11,0,11,11,11,0,0,0,56,0,56,56,56,56,3,2,0,500,1,0,0,0,0
88,NCHP_CT03,0,NCHP_CT03_0,PEC,Peaker,72,50,1750,32,50,1750,8,50,1750,0,11,56,56,28,11,28,11,0,11,0,11,0,11,0,11,11,11,0,0,0,56,0,56,56,56,56,3,2,0,500,1,0,0,0,0
89,NCHP_CT04,0,NCHP_CT04_0,PEC,Peaker,72,50,0,32,50,0,8,50,0,0,11,56,56,28,11,28,11,0,11,0,11,0,11,0,11,11,11,0,0,0,56,0,56,56,56,56,3,2,0,500,1,0,0,0,0
90,NCHP_CT05,0,NCHP_CT05_0,PEC,Peaker,72,50,0,32,50,0,8,50,0,0,11,56,56,28,11,28,11,0,11,0,11,0,11,0,11,11,11,0,0,0,56,0,56,56,56,56,3,2,0,500,1,0,0,0,0
91,OCON_UN01,0,OCON_UN01_0,DEC,Nuclear,72,0,0,32,0,0,8,0,0,0,764.37,865,865,250,9.37,250,9.37,91,9.37,91,9.37,92,9.37,91,9.37,173,9.37,0,0,0,0,0,865,865,865,865,120,5,10,0,0,1,0,865,1
92,OCON_UN02,0,OCON_UN02_0,DEC,Nuclear,72,0,0,32,0,0,8,0,0,0,725.23,872,872,250,9.23,250,9.23,93,9.23,93,9.23,93,9.23,93,9.23,174,9.23,0,0,0,0,0,872,872,872,872,120,5,10,0,0,1,0,872,1
93,OCON_UN03,0,OCON_UN03_0,DEC,Nuclear,72,0,0,32,0,0,8,0,0,0,803.11,881,881,250,9.11,250,9.11,95,9.11,95,9.11,96,9.11,95,9.11,176,9.11,0,0,0,0,0,881,881,881,881,120,5,10,0,0,1,0,881,1
94,RCKN_CT01,0,RCKN_CT01_0,DEC,Peaker,72,350,4594,32,350,4594,8,350,4594,0,438.658,133,179,66,7.64425,67,8.35005,11,9.1596,12,9.5927,12,10.1194,11,10.7011,36,12.2601,179,0,0,179,179,179,179,179,179,2,1,0,500,1,0,1,0,0
95,RCKN_CT02,0,RCKN_CT02_0,DEC,Peaker,72,350,4594,32,350,4594,8,350,4594,0,438.658,133,179,66,7.64425,67,8.35005,11,9.1596,12,9.5927,12,10.1194,11,10.7011,36,12.2601,179,0,0,179,179,179,179,179,179,2,1,0,500,1,0,1,0,0
96,RCKN_CT03,0,RCKN_CT03_0,DEC,Peaker,72,350,4594,32,350,4594,8,350,4594,0,438.658,133,179,66,7.64425,67,8.35005,11,9.1596,12,9.5927,12,10.1194,11,10.7011,36,12.2601,179,0,0,179,179,179,179,179,179,2,1,0,500,1,0,1,0,0
97,RCKN_CT04,0,RCKN_CT04_0,DEC,Peaker,72,350,4594,32,350,4594,8,350,4594,0,438.658,133,179,66,7.64425,67,8.35005,11,9.1596,12,9.5927,12,10.1194,11,10.7011,36,12.2601,179,0,0,179,179,179,179,179,179,2,1,0,500,1,0,1,0,0
98,RCKN_CT05,0,RCKN_CT05_0,DEC,Peaker,72,350,4594,32,350,4594,8,350,4594,0,438.658,133,179,66,7.64425,67,8.35005,11,9.1596,12,9.5927,12,10.1194,11,10.7011,36,12.2601,179,0,0,179,179,179,179,179,179,2,1,0,500,1,0,1,0,0
99,RCOG_CG01,0,RCOG_CG01_0,PEC,Cogen,72,0,2000,32,0,2000,8,0,2000,0,99,0,0,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,0,0,0,0,0,0,0,0,100,100,0,500,0,0,0,0,0
100,RCOP_CC04,1,RCOP_CC04_1,PEC,Combined-Cycle,72,3223,0,32,1935,0,8,1935,0,5418,337.0442,169,276,84,5.51635,85,5.72135,29,6.0259,29,6.3177,29,6.7006,29,7.187,57,8.1734,107,50,50,0,107,276,276,276,276,72,12,0,500,0,0,0,0,0
101,RCOP_CC04,2,RCOP_CC04_2,PEC,Combined-Cycle,72,2160,0,32,1130,0,8,1130,0,4433,807.602476,179,277,174,4.7892,174,5.2172,56,5.8334,55,6.3875,55,7.09695,56,7.99565,114,9.8665,98,50,50,0,98,277,277,277,277,20,4,0,500,0,0,0,0,0
102,RCOP_CC05,1,RCOP_CC05_1,PEC,Combined-Cycle,72,3223,0,32,1935,0,8,1935,0,7444,522.1201525,200,340,100,5.008,100,5.2422,35,5.59285,35,5.9349,35,6.3856,35,6.96,68,8.1177,137,50,50,0,137,300,300,300,300,72,12,0,500,0,0,0,0,0
103,RCOP_CC05,2,RCOP_CC05_2,PEC,Combined-Cycle,72,2160,0,32,1130,0,8,1130,0,6091,717.8623568,225,340,212,5.50765,213,5.74915,64,6.08705,63,6.3747,41,6.66285,0.1,7.50415,222.9,8.28555,112,50,50,0,112,300,300,300,300,20,4,0,500,0,0,0,0,0
104,RCOP_CT01,0,RCOP_CT01_0,PEC,Peaker,72,248,3485,32,248,3485,8,248,3485,0,655.1087629,100,189,50,5.86715,50,6.1323,21,6.56885,21,7.06285,20,7.72035,21,8.58605,37,10.2819,183,83,83,183,183,189,189,189,189,2,4,0,500,1,0,0,0,0
105,RCOP_CT02,0,RCOP_CT02_0,PEC,Peaker,72,248,3485,32,248,3485,8,248,3485,0,655.1087629,100,187,50,5.86715,50,6.1323,21,6.56885,21,7.06285,20,7.72035,21,8.58605,37,10.2819,183,83,83,183,183,187,187,187,187,2,4,0,500,1,0,0,0,0
106,RCOP_CT03,0,RCOP_CT03_0,PEC,Peaker,72,276,3485,32,276,3485,8,276,3485,0,655.1087629,100,185,50,5.86715,50,6.1323,21,6.56885,21,7.06285,22,7.7626,21,8.68215,37,10.41345,185,85,85,185,185,185,185,185,185,2,4,0,500,1,0,0,0,0
107,RCOP_CT04,0,RCOP_CT04_0,PEC,Peaker,72,276,3485,32,276,3485,8,276,3485,0,655.1087629,100,186,50,5.86715,50,6.1323,22,6.5806,21,7.09075,21,7.77875,22,8.7095,37,10.4802,186,86,86,186,186,186,186,186,186,2,4,0,500,1,0,0,0,0
108,RCOP_CT06,0,RCOP_CT06_0,PEC,Peaker,72,248,3485,32,248,3485,8,248,3485,0,655.1087629,100,187,50,5.86715,50,6.1323,20,6.5573,20,7.01965,19,7.62725,20,8.42035,36,9.98955,179,79,79,179,179,187,187,187,187,2,4,0,500,1,0,0,0,0
109,ROBN_UN02,0,ROBN_UN02_0,PEC,Nuclear,72,0,0,32,0,0,8,0,0,0,735.16,797,797,125,9.16,125,9.16,137,9.16,137,9.16,136,9.16,137,9.16,159,9.16,0,0,0,0,0,797,797,797,797,120,12,10,0,0,1,0,797,1
110,ROWAN_CT02,0,ROWAN_CT02_0,PEC,Peaker,72,154,6971,32,154,6971,8,154,6971,0,393.2349,70,192,35,8.4997,35,8.53805,30,8.6451,31,8.8582,31,9.2219,30,9.7621,38,10.64745,192,110,110,192,192,192,192,192,192,1,1,0,500,1,0,0,0,0
111,ROXB_UN01,0,ROXB_UN01_0,PEC,Steam,144,2902,0,36,2022,0,8,1303,0,82000,241.0211715,70,380,50,8.7874,50,8.788,70,8.79085,70,8.7986,70,8.8136,70,8.8383,76,8.87745,120,20,20,0,120,240,240,240,240,72,12,0,500,0,0,0,0,0
112,ROXB_UN02,0,ROXB_UN02_0,PEC,Steam,144,5324,0,36,4605,0,8,3887,0,131000,518.5295662,85,673,75,8.4673,75,8.47205,131,8.5027,131,8.59645,130,8.78945,131,9.1203,135,9.63905,180,30,30,0,180,240,240,240,240,72,12,0,500,0,0,0,0,0
113,ROXB_UN03,1,ROXB_UN03_1,PEC,Steam Dual Boiler,144,5534,0,36,3012,0,8,1541,0,72050,402.3247346,68,349,45,8.8906,45,8.8916,64,8.8965,65,8.90995,65,8.9364,64,8.97985,70,9.04875,180,30,30,0,180,150,150,150,150,72,12,0,500,0,0,0,0,0
114,ROXB_UN03,2,ROXB_UN03_2,PEC,Steam Dual Boiler,144,2702,0,36,2964,0,8,2808,0,58950,402.3247346,68,349,90,8.8915,90,8.8995,130,8.93945,129,9.0477,129,9.2586,130,9.6097,140,10.1666,180,30,30,0,180,300,300,300,300,18,1,0,500,0,0,0,0,0
115,ROXB_UN04,1,ROXB_UN04_1,PEC,Steam Dual Boiler,144,5555,0,36,3023,0,8,1541,0,72050,707.2158,125,355,62,8.3933,63,8.39765,56,8.4104,57,8.43615,56,8.4797,56,8.5454,70,8.6542,180,30,30,0,180,150,150,150,150,72,12,0,500,0,0,0,0,0
116,ROXB_UN04,2,ROXB_UN04_2,PEC,Steam Dual Boiler,144,2681,0,36,2954,0,8,2808,0,58950,707.2158,125,356,125,8.39715,125,8.43205,115,8.53635,115,8.7486,116,9.11315,115,9.66935,142,10.5834,180,30,30,0,180,210,210,210,210,18,1,0,500,0,0,0,0,0
117,SCCP_CC01,1,SCCP_CC01_1,PEC,Combined-Cycle,72,2700,0,32,2700,0,8,2700,0,7818,295.353458,180,359,88,6.35045,87,6.35105,46,6.35225,46,6.3539,46,6.3563,47,6.35965,71,6.3656,178,50,50,0,178,300,300,300,300,72,12,0,500,0,0,0,0,0
118,SCCP_CC01,2,SCCP_CC01_2,PEC,Combined-Cycle,72,1513,0,32,1513,0,8,1513,0,6397,301.5114197,96,360,124,6.21605,125,6.2522,117,6.3626,118,6.592,109,6.96555,0.1,7.85455,269.9,8.5216,263,50,50,0,263,300,300,300,300,54,2,0,500,0,0,0,0,0
119,SOCO_CC01,1,SOCO_CC01_1,PEC,Combined-Cycle,72,1800,8760.25,32,1800,8760.25,8,1800,8760.25,0,8.6458,48,48,24,8.6458,24,8.6458,0,8.6458,0,8.6458,0,8.6458,0,8.6458,10,8.6458,0,0,0,0,0,48,48,48,48,12,8,0,500,0,0,0,0,0
120,SOCO_CC01,2,SOCO_CC01_2,PEC,Combined-Cycle,72,0,0,32,0,0,8,0,0,0,8.0412,49,48,48,8.0412,49,8.0412,0,8.0412,0,8.0412,0,8.0412,0,8.0412,19,8.0412,0,0,0,0,0,48,48,48,48,1,1,0,500,0,0,0,0,0
121,SOCO_CC01,3,SOCO_CC01_3,PEC,Combined-Cycle,72,0,0,32,0,0,8,0,0,0,7.7586,48,48,72,7.7586,73,7.7586,0,7.7586,0,7.7586,0,7.7586,0,7.7586,29,7.7586,0,0,0,0,0,48,48,48,48,1,1,0,500,0,0,0,0,0
122,SPRT_CG01,0,SPRT_CG01_0,PEC,Cogen,72,0,4000,32,0,4000,8,0,4000,0,99,0,0,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,0,0,0,0,0,0,0,0,100,100,0,500,0,0,0,0,0
123,SUTT_CT01,0,SUTT_CT01_0,PEC,Peaker,72,53,2375,32,53,2375,8,53,2375,0,106.666,15,49,8,6.97475,7,7.03255,9,7.26045,8,7.76365,9,8.70695,9,10.286,10,12.80405,12,3,3,15,12,18,18,18,18,1,1,0,500,1,0,0,0,0
124,SUTT_CT02,0,SUTT_CT02_0,PEC,Peaker,72,151,4750,32,151,4750,8,151,4750,0,106.666,15,49,8,6.97475,7,7.03255,9,7.26045,8,7.76365,9,8.70695,9,10.286,10,12.80405,64,58,58,64,64,49,49,49,49,2,1,0,500,1,0,0,0,0
125,SUTT_CT04,0,SUTT_CT04_0,PEC,Peaker,72,28,2422,32,28,2422,8,28,2422,0,106.666,15,49,8,6.97475,7,7.03255,9,7.26045,8,7.76365,9,8.70695,9,10.286,10,12.80405,0,0,0,15,0,49,49,49,49,1,2,0,500,1,0,0,0,0
126,SUTT_CT05,0,SUTT_CT05_0,PEC,Peaker,72,28,2422,32,28,2422,8,28,2422,0,106.666,15,49,8,6.97475,7,7.03255,9,7.26045,8,7.76365,9,8.70695,9,10.286,10,12.80405,0,0,0,15,0,49,49,49,49,1,2,0,500,1,0,0,0,0
127,WCOP_CT10,0,WCOP_CT10_0,PEC,Peaker,72,154,6971,32,154,6971,8,154,6971,0,393.2349,70,192,35,8.4997,35,8.53805,30,8.6451,31,8.8582,31,9.2219,30,9.7621,38,10.64745,192,110,110,192,192,192,192,192,192,1,1,0,500,1,0,0,0,0
128,WCOP_CT11,0,WCOP_CT11_0,PEC,Peaker,72,154,6971,32,154,6971,8,154,6971,0,393.2349,70,192,35,8.4997,35,8.53805,30,8.6451,31,8.8582,31,9.2219,30,9.7621,38,10.64745,192,110,110,192,192,192,192,192,192,1,1,0,500,1,0,0,0,0
129,WCOP_CT12,0,WCOP_CT12_0,PEC,Peaker,72,154,6971,32,154,6971,8,154,6971,0,444.6042,100,193,50,7.68515,50,7.6926,23,7.7055,23,7.7212,24,7.7439,23,7.7742,39,7.8305,193,93,93,193,193,193,193,193,193,2,4,0,500,1,0,0,0,0
130,WCOP_CT13,0,WCOP_CT13_0,PEC,Peaker,72,154,6971,32,154,6971,8,154,6971,0,444.6042,100,191,50,7.68515,50,7.6926,21,7.7048,21,7.71865,22,7.7383,21,7.7641,37,7.81265,185,85,85,185,185,191,191,191,191,2,4,0,500,1,0,0,0,0
131,WCOP_CT14,0,WCOP_CT14_0,PEC,Peaker,72,250,6971,32,250,6971,8,250,6971,0,700.2436,100,195,50,5.5707,50,5.7876,24,6.1741,24,6.6604,25,7.36995,24,8.3252,39,10.05335,197,97,97,197,197,195,195,195,195,2,4,0,500,1,0,0,0,0
132,WSPN_CT01,0,WSPN_CT01_0,PEC,Peaker,72,112,0,32,112,0,8,112,0,0,476.813137,12,164,6,11.98255,6,11.98265,38,11.98795,38,12.01685,38,12.09665,38,12.25535,33,12.49555,164,152,152,164,164,164,164,164,164,1,1,0,500,1,0,0,0,0
