UNIT,UNIT_NAME,CC_KEY,UNIT_ID,PORTFOLIO_NAME,UNIT_TYPE,ColdStart_Hours,ColdStartU_HeatRate,ColdStartU_FixedCost,WarmStart_Hours,WarmStartU_HeatRate,WarmStartU_FixedCost,HotStart_Hours,HotStartU_HeatRate,HotStartU_FixedCost,ShutdownCost,NoLoadHR,MinPowerOut,MaxPowerOut,IHRC_B1_Q,IHRC_B1_HR,IHRC_B2_Q,IHRC_B2_HR,IHRC_B3_Q,IHRC_B3_HR,IHRC_B4_Q,IHRC_B4_HR,IHRC_B5_Q,IHRC_B5_HR,IHRC_B6_Q,IHRC_B6_HR,IHRC_B7_Q,IHRC_B7_HR,SpinningRes_Limit,RegDownRes_Limit,RegUpRes_Limit,NonSpinningRes_Limit,BalancingRes_Limit,RampDownLimit,RampShutDownLimit,RampUpLimit,RampStartUpLimit,MinUpTime,MinDownTime,UpTimeInit,DownTimeInit,FastStart,Nuclear,NaturalGasFired,PowerInit,StatusInit
18,BRVR_CT04,0,BRVR_CT04_0,PEC,Peaker,72,244,7875.401,32,244,7875.401,8,244,7875.401,0,655.4679,100,178,50,6.23105,50,6.4962,21,6.93275,21,7.42675,20,8.08425,21,8.9499,37,10.6457,162,0,0,162,162,178,178,178,178,2,4,0,500,1,0,0,0,0
19,BRVR_CT05,0,BRVR_CT05_0,PEC,Peaker,72,244,7875.401,32,244,7875.401,8,244,7875.401,0,655.4679,100,178,55,6.242,55,6.5949,18,7.1068,18,7.579,19,8.21395,18,9.01365,37,10.6457,162,0,0,162,162,178,178,178,178,2,4,0,500,1,0,0,0,0
20,BUCK_CC01,1,BUCK_CC01_1,DEC,Combined-Cycle,72,1935,0,32,1935,0,8,1935,0,8951,604.1098,150,358,75,4.1356,75,4.3418,52,4.81955,52,5.61445,72,7.22745,0.1,8.56705,103.9,8.88895,211,40,40,0,211,240,240,240,240,14,6,0,500,0,0,1,0,0
21,BUCK_CC01,2,BUCK_CC01_2,DEC,Combined-Cycle,72,1130,0,32,1130,0,8,1130,0,7323,1203.8886,105,358,150,3.91755,150,4.14915,104,4.68585,104,5.5789,66,6.6357,0.1,7.9931,284.9,9.011,240,40,40,0,240,240,240,240,240,8,4,0,500,0,0,1,0,0
22,CATA_UN01,0,CATA_UN01_0,DEC,Nuclear,72,0,0,32,0,0,8,0,0,0,1378.91,1199,1199,325,8.91,325,8.91,131,8.91,131,8.91,131,8.91,131,8.91,234,8.91,0,0,0,0,0,1199,1199,1199,1199,120,5,10,0,0,1,0,1199,1
23,CATA_UN02,0,CATA_UN02_0,DEC,Nuclear,72,0,0,32,0,0,8,0,0,0,1338.84,1180,1180,325,8.84,325,8.84,132,8.84,133,8.84,132,8.84,133,8.84,236,8.84,0,0,0,0,0,1180,1180,1180,1180,120,5,10,0,0,1,0,1180,1
24,CHER_CG01,0,CHER_CG01_0,DEC,Cogen,72,0,8000,32,0,8000,8,0,8000,0,8.3,86,86,43,8.3,43,8.3,0,8.3,0,8.3,0,8.3,0,8.3,17,8.3,0,0,0,0,0,86,86,86,86,6,4,0,500,0,0,1,0,0
25,CLEM_CT01,0,CLEM_CT01_0,DEC,Peaker,72,0,0,32,0,0,8,0,0,0,122.6659,17,17,1,8.0109,1,8.01105,3,8.0135,3,8.02345,3,8.0472,3,8.09115,3,8.1617,0,0,0,17,0,17,17,17,17,0,0,0,500,1,0,1,0,0
26,CLEVL_CT04,0,CLEVL_CT04_1,PEC,Peaker,72,1935,0,32,1935,0,8,1935,0,8951,604.1098,150,358,75,4.1356,75,4.3418,52,4.81955,52,5.61445,72,7.22745,0.1,8.56705,103.9,8.88895,211,40,40,0,211,240,240,240,240,14,6,0,500,0,0,0,0,0
27,CLIF_UN05,0,CLIF_UN05_0,DEC,Steam,144,3431,0,76,2807,0,8,1461,0,0,503.5927,126,546,64,8.6429,63,8.6443,104,8.65255,105,8.6771,104,8.7269,104,8.81105,109,8.94325,430,80,80,0,430,480,480,480,480,72,24,0,500,0,0,1,0,0
