Hour,StorageUniID,Power,EnergyLimit,Charge_St,Discharge_St,Idle_St,storgChrgPwr,storgDiscPwr,storgSOC,storgResUp,storgResDn
5.0,10.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,333.68841284534597,150.00000000000003,0.0
6.0,2.0,5.0,5.0,1.0,0.0,0.0,5.199306759098788,0.0,4.783362218370885,0.0,0.19930675909878826
6.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,0.0,385.5421687,160.00000000000003,0.0
6.0,4.0,6.0,6.0,1.0,0.0,0.0,5.217391304347826,0.0,6.000000000000001,0.0,0.0
6.0,5.0,170.0,2048.1927710843374,1.0,0.0,0.0,340.00000000000006,0.0,617.1199604737496,0.0,170.0
6.0,6.0,7.0,7.0,1.0,0.0,0.0,7.2790294627383,0.0,6.6967071057192396,0.0,0.27902946273829965
6.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,0.0,433.7349398,180.00000000000003,0.0
6.0,8.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,7.6533795493934145,0.0,0.0
6.0,9.0,190.0,2289.156626506024,1.0,0.0,0.0,44.90356900743757,0.0,496.71781606044095,0.0,190.0
6.0,10.0,9.0,9.0,1.0,0.0,0.0,9.358752166377815,0.0,8.610051993067591,0.0,0.3587521663778155
7.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,333.68841284534597,150.00000000000003,0.0
7.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,4.783362218370885,4.400693240901215,0.0
7.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,0.0,385.5421687,160.00000000000003,0.0
7.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,5.520000000000001,0.0
7.0,5.0,170.0,2048.1927710843374,1.0,0.0,0.0,0.0,0.0,617.1199604737496,0.0,0.0
7.0,6.0,7.0,7.0,1.0,0.0,0.0,0.3296661894356106,0.0,7.000000000000002,0.0,0.0
7.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,0.0,433.7349398,180.00000000000003,0.0
7.0,8.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,7.6533795493934145,0.0,0.0
7.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,0.0,496.71781606044095,0.0,0.0
7.0,10.0,9.0,9.0,1.0,0.0,0.0,0.42385652927435835,0.0,9.0,0.0,0.0
8.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,333.68841284534597,0.0,0.0
8.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,4.783362218370885,4.400693240901215,0.0
8.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,0.0,385.5421687,93.41306226500062,0.0
8.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,5.520000000000001,0.0
8.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,0.0,617.1199604737496,170.0,0.0
8.0,6.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,7.000000000000002,0.0,0.0
8.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,15.110801105901771,416.28597778394715,164.88919889409823,0.0
8.0,8.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,7.6533795493934145,0.0,0.0
8.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,0.0,496.71781606044095,0.0,0.0
8.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,8.280000000000001,0.0
9.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,333.68841284534597,150.00000000000003,0.0
9.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,4.783362218370885,0.0,0.0
9.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,0.0,385.5421687,0.0,0.0
9.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,0.0,0.0
9.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,0.0,617.1199604737496,0.0,0.0
9.0,6.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,7.000000000000002,0.0,0.0
9.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,0.0,416.28597778394715,86.44610359999996,0.0
9.0,8.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,7.6533795493934145,0.0,0.0
9.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,0.0,496.71781606044095,190.00000000000003,0.0
9.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,8.280000000000001,0.0
10.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,333.68841284534597,150.00000000000003,0.0
10.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,4.783362218370885,4.400693240901215,0.0
10.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,0.0,385.5421687,0.0,0.0
10.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,0.0,0.0
10.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,0.0,617.1199604737496,0.0,0.0
