,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10
Zone1,0,1000,1000,0,0,0,0,0,0,1000
Zone2,1000,0,1000,1000,0,1000,0,0,0,1000
Zone3,1000,1000,0,0,0,0,1000,0,0,0
Zone4,0,1000,0,0,1000,1000,0,0,0,0
Zone5,0,0,0,1000,0,1000,0,1000,1000,0
Zone6,0,1000,0,1000,1000,0,1000,1000,0,0
Zone7,0,0,1000,0,0,1000,0,0,0,0
Zone8,0,0,0,0,1000,1000,0,0,0,0
Zone9,0,0,0,0,1000,0,0,0,0,1000
Zone10,1000,1000,0,0,0,0,0,0,1000,0
