UNIT_ID,PORTFOLIO_NAME,UNIT_TYPE,MW
LEEC_CT08_0,DEC,Peaker,4683
LEES_CC01_1,DEC,Combined-Cycle,2663685
LEES_CC01_2,DEC,Combined-Cycle,2616223
LEES_UN03_0,DEC,Steam,0
LINC_CT01_0,DEC,Peaker,2460
LINC_CT02_0,DEC,Peaker,2193
LINC_CT03_0,DEC,Peaker,2475
LINC_CT04_0,DEC,Peaker,2970
LINC_CT05_0,DEC,Peaker,1903
LINC_CT06_0,DEC,Peaker,2411
LINC_CT07_0,DEC,Peaker,2071
LINC_CT08_0,DEC,Peaker,2321
LINC_CT09_0,DEC,Peaker,1708
LINC_CT10_0,DEC,Peaker,1896
LINC_CT11_0,DEC,Peaker,1870
LINC_CT12_0,DEC,Peaker,1509
LINC_CT13_0,DEC,Peaker,1855
LINC_CT14_0,DEC,Peaker,2211
LINC_CT15_0,DEC,Peaker,2183
LINC_CT16_0,DEC,Peaker,1946
MARD_UN01_0,DEC,Steam,895124
MARD_UN02_0,DEC,Steam,1150128
MARD_UN03_0,DEC,Steam,2444357
MARD_UN04_0,DEC,Steam,3365602
MARS_HYDR_0,PEC,Hydro,17
MAYO_UN01_1,PEC,Steam Dual Boiler,919466
MAYO_UN01_2,PEC,Steam Dual Boiler,647742
MCGU_UN01_0,DEC,Nuclear,9280983
MCGU_UN02_0,DEC,Nuclear,10316405
MILL_CT01_0,DEC,Peaker,11968
MILL_CT02_0,DEC,Peaker,11286
MILL_CT03_0,DEC,Peaker,9524
MILL_CT04_0,DEC,Peaker,9097
MILL_CT05_0,DEC,Peaker,10000
MILL_CT06_0,DEC,Peaker,9263
MILL_CT07_0,DEC,Peaker,9461
MILL_CT08_0,DEC,Peaker,9354
MISC_CG01_0,PEC,Cogen,752840
MSCH_HYDR_0,DEC,Hydro,2343655
N3PC_DCSF_0,DEC,Renewable,302345
N3PC_PESF_0,PEC,Renewable,1516552
NCAP_CT01_0,PEC,Peaker,19642
NCAP_CT02_0,PEC,Peaker,16539
NCAP_CT03_0,PEC,Peaker,16005
NCAP_CT04_0,PEC,Peaker,16270
NCAP_CT05_0,PEC,Peaker,17099
NCAP_CT06_0,PEC,Peaker,18201
NCHP_CT01_0,PEC,Peaker,30923
NCHP_CT02_0,PEC,Peaker,0
NCHP_CT03_0,PEC,Peaker,0
NCHP_CT04_0,PEC,Peaker,31107
NCHP_CT05_0,PEC,Peaker,25441
OCON_UN01_0,DEC,Nuclear,7498635
OCON_UN02_0,DEC,Nuclear,6804006
OCON_UN03_0,DEC,Nuclear,7574109
PRPA_DCSF_0,DEC,Renewable,431896
PRPA_PESF_0,PEC,Renewable,2647216
RCKN_CT01_0,DEC,Peaker,185305
RCKN_CT02_0,DEC,Peaker,186879
RCKN_CT03_0,DEC,Peaker,206298
RCKN_CT04_0,DEC,Peaker,174258
RCKN_CT05_0,DEC,Peaker,210752
RCOG_CG01_0,PEC,Cogen,324274
RCOP_CC04_1,PEC,Combined-Cycle,1946409
RCOP_CC04_2,PEC,Combined-Cycle,1822980
RCOP_CC05_1,PEC,Combined-Cycle,1963438
RCOP_CC05_2,PEC,Combined-Cycle,2033760
RCOP_CT01_0,PEC,Peaker,354784
RCOP_CT02_0,PEC,Peaker,352689
RCOP_CT03_0,PEC,Peaker,269202
RCOP_CT04_0,PEC,Peaker,379888
RCOP_CT06_0,PEC,Peaker,304193
ROBN_UN02_0,PEC,Nuclear,6387456
ROXB_UN01_0,PEC,Steam,619481
ROXB_UN02_0,PEC,Steam,1375998
ROXB_UN03_1,PEC,Steam Dual Boiler,1218779
ROXB_UN03_2,PEC,Steam Dual Boiler,1162868
ROXB_UN04_1,PEC,Steam Dual Boiler,1385085
ROXB_UN04_2,PEC,Steam Dual Boiler,1259833
SCCP_CC01_1,PEC,Combined-Cycle,2470664
SCCP_CC01_2,PEC,Combined-Cycle,1955344
SOCO_CC01_1,PEC,Combined-Cycle,377266
SOCO_CC01_2,PEC,Combined-Cycle,381966
SOCO_CC01_3,PEC,Combined-Cycle,371433
SPRT_CG01_0,PEC,Cogen,459410
SUTT_CT02_0,PEC,Peaker,0
SUTT_CT04_0,PEC,Peaker,95895
SUTT_CT05_0,PEC,Peaker,99201
TILL_HYDR_0,PEC,Pondage Hydro,233583
WALT_HYDR_0,PEC,Pondage Hydro,441619
WCOP_CT10_0,PEC,Peaker,13247
WCOP_CT11_0,PEC,Peaker,8285
WCOP_CT12_0,PEC,Peaker,18895
WCOP_CT13_0,PEC,Peaker,35320
WCOP_CT14_0,PEC,Peaker,71741
WSPN_CT01_0,PEC,Peaker,806
