Day,Hour,StorageUniID,Name,Power,EnergyLimit,Charge_St,Discharge_St,Idle_St,storgChrgPwr,storgDiscPwr,storgSOC,storgResUp,storgResDn
1,14,5,JOCA_PS01,155,1867.46988,1,0,0,0,0,15.52630847,,
1,14,6,JOCA_PS02,155,1867.46988,1,0,0,0,0,15.52630847,,
1,14,7,JOCA_PS03,155,1867.46988,1,0,0,0,0,15.52630847,,
1,14,8,JOCA_PS04,155,1867.46988,1,0,0,0,0,15.52630847,,
1,15,1,BADC_PS01,250,3012.048193,1,0,0,0,0,313.7260358,,
1,15,2,BADC_PS02,250,3012.048193,1,0,0,0,0,313.7260358,,
1,15,3,BADC_PS03,250,3012.048193,1,0,0,0,0,25.04243301,,
1,15,4,BADC_PS04,250,3012.048193,1,0,0,0,0,25.04243301,,
1,15,5,JOCA_PS01,155,1867.46988,0,1,0,0,13.44578313,0,,
1,15,6,JOCA_PS02,155,1867.46988,1,0,0,0,0,15.52630847,,
1,15,7,JOCA_PS03,155,1867.46988,0,1,0,0,13.44578313,0,,
1,15,8,JOCA_PS04,155,1867.46988,0,1,0,0,13.44578313,-3.55271E-15,,
1,16,1,BADC_PS01,250,3012.048193,1,0,0,0,0,313.7260358,,
1,16,2,BADC_PS02,250,3012.048193,1,0,0,0,0,313.7260358,,
1,16,3,BADC_PS03,250,3012.048193,1,0,0,0,0,25.04243301,,
1,16,4,BADC_PS04,250,3012.048193,1,0,0,0,0,25.04243301,,
1,16,5,JOCA_PS01,155,1867.46988,1,0,0,0,0,0,,
1,16,6,JOCA_PS02,155,1867.46988,1,0,0,0,0,15.52630847,,
1,16,7,JOCA_PS03,155,1867.46988,1,0,0,0,0,0,,
1,16,8,JOCA_PS04,155,1867.46988,1,0,0,0,0,-3.55271E-15,,
1,17,1,BADC_PS01,250,3012.048193,1,0,0,0,0,313.7260358,,
1,17,2,BADC_PS02,250,3012.048193,1,0,0,0,0,313.7260358,,
1,17,3,BADC_PS03,250,3012.048193,1,0,0,0,0,25.04243301,,
1,17,4,BADC_PS04,250,3012.048193,1,0,0,0,0,25.04243301,,
1,17,5,JOCA_PS01,155,1867.46988,1,0,0,0,0,0,,
1,17,6,JOCA_PS02,155,1867.46988,1,0,0,0,0,15.52630847,,
1,17,7,JOCA_PS03,155,1867.46988,1,0,0,0,0,0,,
1,17,8,JOCA_PS04,155,1867.46988,1,0,0,0,0,-3.55271E-15,,
1,18,1,BADC_PS01,250,3012.048193,0,1,0,0,250,25.04243301,,
1,18,2,BADC_PS02,250,3012.048193,0,1,0,0,250,25.04243301,,
1,18,3,BADC_PS03,250,3012.048193,1,0,0,0,0,25.04243301,,
1,18,4,BADC_PS04,250,3012.048193,0,1,0,0,21.68674699,-7.10543E-15,,
1,18,5,JOCA_PS01,155,1867.46988,1,0,0,0,0,0,,
1,18,6,JOCA_PS02,155,1867.46988,0,1,0,0,13.44578313,4.26326E-14,,
1,18,7,JOCA_PS03,155,1867.46988,1,0,0,0,0,0,,
1,18,8,JOCA_PS04,155,1867.46988,1,0,0,0,0,-3.55271E-15,,
1,19,1,BADC_PS01,250,3012.048193,1,0,0,0,0,25.04243301,,
1,19,2,BADC_PS02,250,3012.048193,1,0,0,0,0,25.04243301,,
1,19,3,BADC_PS03,250,3012.048193,0,1,0,0,21.68674699,0,,
1,19,4,BADC_PS04,250,3012.048193,1,0,0,0,0,-7.10543E-15,,
1,19,5,JOCA_PS01,155,1867.46988,0,1,0,0,0,0,,
1,19,6,JOCA_PS02,155,1867.46988,0,1,0,0,0,0,,
1,19,7,JOCA_PS03,155,1867.46988,0,1,0,0,0,0,,
1,19,8,JOCA_PS04,155,1867.46988,0,1,0,0,0,0,,
1,20,1,BADC_PS01,250,3012.048193,0,1,0,0,21.68674699,0,,
1,20,2,BADC_PS02,250,3012.048193,0,1,0,0,21.68674699,0,,
1,20,3,BADC_PS03,250,3012.048193,1,0,0,0,0,0,,
1,20,4,BADC_PS04,250,3012.048193,1,0,0,0,0,-7.10543E-15,,
1,20,5,JOCA_PS01,155,1867.46988,1,0,0,0,0,0,,
1,20,6,JOCA_PS02,155,1867.46988,1,0,0,0,0,0,,
1,20,7,JOCA_PS03,155,1867.46988,1,0,0,0,0,0,,
1,20,8,JOCA_PS04,155,1867.46988,1,0,0,0,0,0,,
1,21,1,BADC_PS01,250,3012.048193,0,1,0,0,0,0,,
1,21,2,BADC_PS02,250,3012.048193,0,1,0,0,0,0,,
1,21,3,BADC_PS03,250,3012.048193,0,1,0,0,0,0,,
1,21,4,BADC_PS04,250,3012.048193,1,0,0,0,0,-7.10543E-15,,
1,21,5,JOCA_PS01,155,1867.46988,0,1,0,0,0,0,,
1,21,6,JOCA_PS02,155,1867.46988,0,1,0,0,0,0,,
1,21,7,JOCA_PS03,155,1867.46988,0,1,0,0,0,0,,
1,21,8,JOCA_PS04,155,1867.46988,1,0,0,0,0,0,,
1,22,1,BADC_PS01,250,3012.048193,0,1,0,0,0,0,,
1,22,2,BADC_PS02,250,3012.048193,1,0,0,0,0,0,,
1,22,3,BADC_PS03,250,3012.048193,1,0,0,0,0,0,,
1,22,4,BADC_PS04,250,3012.048193,0,1,0,0,0,0,,
1,22,5,JOCA_PS01,155,1867.46988,1,0,0,0,0,0,,
1,22,6,JOCA_PS02,155,1867.46988,1,0,0,0,0,0,,
1,22,7,JOCA_PS03,155,1867.46988,0,1,0,0,0,0,,
1,22,8,JOCA_PS04,155,1867.46988,1,0,0,0,0,0,,
1,23,1,BADC_PS01,250,3012.048193,1,0,0,0,0,0,,
1,23,2,BADC_PS02,250,3012.048193,1,0,0,0,0,0,,
1,23,3,BADC_PS03,250,3012.048193,1,0,0,0,0,0,,
1,23,4,BADC_PS04,250,3012.048193,1,0,0,0,0,0,,
1,23,5,JOCA_PS01,155,1867.46988,0,1,0,0,0,0,,
1,23,6,JOCA_PS02,155,1867.46988,1,0,0,0,0,0,,
1,23,7,JOCA_PS03,155,1867.46988,1,0,0,0,0,0,,
1,23,8,JOCA_PS04,155,1867.46988,1,0,0,0,0,0,,
1,24,1,BADC_PS01,250,3012.048193,1,0,0,0,0,0,,
1,24,2,BADC_PS02,250,3012.048193,1,0,0,0,0,0,,
1,24,3,BADC_PS03,250,3012.048193,1,0,0,0,0,0,,
1,24,4,BADC_PS04,250,3012.048193,1,0,0,0,0,0,,
1,24,5,JOCA_PS01,155,1867.46988,1,0,0,0,0,0,,
1,24,6,JOCA_PS02,155,1867.46988,1,0,0,0,0,0,,
1,24,7,JOCA_PS03,155,1867.46988,1,0,0,0,0,0,,
1,24,8,JOCA_PS04,155,1867.46988,1,0,0,0,0,0,,
1,25,1,BADC_PS01,250,3012.048193,1,0,0,0,0,0,,
1,25,2,BADC_PS02,250,3012.048193,1,0,0,0,0,0,,
1,25,3,BADC_PS03,250,3012.048193,1,0,0,0,0,0,,
1,25,4,BADC_PS04,250,3012.048193,1,0,0,0,0,0,,
