Day,Time period,Source,Sink,Flow,TransCap
1,77,2,2,0,0
1,78,1,1,0,0
1,78,1,2,-1498,5000
1,78,2,1,1498,5000
1,78,2,2,0,0
1,79,1,1,0,0
1,79,1,2,-944,5000
1,79,2,1,944,5000
1,79,2,2,0,0
1,80,1,1,0,0
1,80,1,2,-606,5000
1,80,2,1,606,5000
1,80,2,2,0,0
1,81,1,1,0,0
1,81,1,2,-715,5000
1,81,2,1,715,5000
1,81,2,2,0,0
1,82,1,1,0,0
1,82,1,2,-790,5000
1,82,2,1,790,5000
1,82,2,2,0,0
1,83,1,1,0,0
1,83,1,2,-1043,5000
1,83,2,1,1043,5000
1,83,2,2,0,0
1,84,1,1,0,0
1,84,1,2,-1191,5000
1,84,2,1,1191,5000
1,84,2,2,0,0
1,85,1,1,0,0
1,85,1,2,-1464,5000
1,85,2,1,1464,5000
1,85,2,2,0,0
1,86,1,1,0,0
1,86,1,2,-1509,5000
1,86,2,1,1509,5000
1,86,2,2,0,0
1,87,1,1,0,0
1,87,1,2,-1639.147753,5000
1,87,2,1,1639.147753,5000
1,87,2,2,0,0
1,88,1,1,0,0
1,88,1,2,-1789,5000
1,88,2,1,1789,5000
1,88,2,2,0,0
1,89,1,1,0,0
1,89,1,2,-1899,5000
1,89,2,1,1899,5000
1,89,2,2,0,0
1,90,1,1,0,0
1,90,1,2,-1552,5000
1,90,2,1,1552,5000
1,90,2,2,0,0
1,91,1,1,0,0
1,91,1,2,-1128,5000
1,91,2,1,1128,5000
1,91,2,2,0,0
1,92,1,1,0,0
1,92,1,2,-1175,5000
1,92,2,1,1175,5000
1,92,2,2,0,0
1,93,1,1,0,0
1,93,1,2,-1108,5000
1,93,2,1,1108,5000
1,93,2,2,0,0
1,94,1,1,0,0
1,94,1,2,-1139,5000
1,94,2,1,1139,5000
1,94,2,2,0,0
1,95,1,1,0,0
1,95,1,2,-1205,5000
1,95,2,1,1205,5000
1,95,2,2,0,0
1,96,1,1,0,0
1,96,1,2,-1329,5000
1,96,2,1,1329,5000
1,96,2,2,0,0
1,97,1,1,0,0
1,97,1,2,-1565,5000
1,97,2,1,1565,5000
1,97,2,2,0,0
1,98,1,1,0,0
1,98,1,2,-1767,5000
1,98,2,1,1767,5000
1,98,2,2,0,0
1,99,1,1,0,0
1,99,1,2,-1875,5000
1,99,2,1,1875,5000
1,99,2,2,0,0
1,100,1,1,0,0
1,100,1,2,-1855,5000
1,100,2,1,1855,5000
1,100,2,2,0,0
1,101,1,1,0,0
