Day,Time period,Source,Sink,Flow,TransCap
1,42,2,1,1505,5000
1,42,2,2,0,0
1,43,1,1,0,0
1,43,1,2,-1185,5000
1,43,2,1,1185,5000
1,43,2,2,0,0
1,44,1,1,0,0
1,44,1,2,-1048,5000
1,44,2,1,1048,5000
1,44,2,2,0,0
1,45,1,1,0,0
1,45,1,2,-982,5000
1,45,2,1,982,5000
1,45,2,2,0,0
1,46,1,1,0,0
1,46,1,2,-1135,5000
1,46,2,1,1135,5000
1,46,2,2,0,0
1,47,1,1,0,0
1,47,1,2,-1304,5000
1,47,2,1,1304,5000
1,47,2,2,0,0
1,48,1,1,0,0
1,48,1,2,-1566.1,5000
1,48,2,1,1566.1,5000
1,48,2,2,0,0
1,49,1,1,0,0
1,49,1,2,-1826.1,5000
1,49,2,1,1826.1,5000
1,49,2,2,0,0
1,50,1,1,0,0
1,50,1,2,-1987.1,5000
1,50,2,1,1987.1,5000
1,50,2,2,0,0
1,51,1,1,0,0
1,51,1,2,-1983.1,5000
1,51,2,1,1983.1,5000
1,51,2,2,0,0
1,52,1,1,0,0
1,52,1,2,-1926.1,5000
1,52,2,1,1926.1,5000
1,52,2,2,0,0
1,53,1,1,0,0
1,53,1,2,-1747.1,5000
1,53,2,1,1747.1,5000
1,53,2,2,0,0
1,54,1,1,0,0
1,54,1,2,-1218.1,5000
1,54,2,1,1218.1,5000
1,54,2,2,0,0
1,55,1,1,0,0
1,55,1,2,-1270,5000
1,55,2,1,1270,5000
1,55,2,2,0,0
1,56,1,1,0,0
1,56,1,2,-1013,5000
1,56,2,1,1013,5000
1,56,2,2,0,0
1,57,1,1,0,0
1,57,1,2,-1168,5000
1,57,2,1,1168,5000
1,57,2,2,0,0
1,58,1,1,0,0
1,58,1,2,-1160,5000
1,58,2,1,1160,5000
1,58,2,2,0,0
1,59,1,1,0,0
1,59,1,2,-1187,5000
1,59,2,1,1187,5000
1,59,2,2,0,0
1,60,1,1,0,0
1,60,1,2,-1268,5000
1,60,2,1,1268,5000
1,60,2,2,0,0
1,61,1,1,0,0
1,61,1,2,-1385,5000
1,61,2,1,1385,5000
1,61,2,2,0,0
1,62,1,1,0,0
1,62,1,2,-1514,5000
1,62,2,1,1514,5000
1,62,2,2,0,0
1,63,1,1,0,0
1,63,1,2,-1490,5000
1,63,2,1,1490,5000
1,63,2,2,0,0
1,64,1,1,0,0
1,64,1,2,-1532.1,5000
1,64,2,1,1532.1,5000
1,64,2,2,0,0
1,65,1,1,0,0
1,65,1,2,-1578,5000
1,65,2,1,1578,5000
1,65,2,2,0,0
1,66,1,1,0,0
1,66,1,2,-1184,5000
1,66,2,1,1184,5000
1,66,2,2,0,0
1,67,1,1,0,0
1,67,1,2,-1167,5000
