Day,Time period,Source,Sink,Flow,TransCap
1.0,34.0,1.0,2.0,-645.0,5000.0
1.0,34.0,2.0,1.0,645.0,5000.0
1.0,34.0,2.0,2.0,0.0,0.0
1.0,35.0,1.0,1.0,0.0,0.0
1.0,35.0,1.0,2.0,-860.0,5000.0
1.0,35.0,2.0,1.0,860.0,5000.0
1.0,35.0,2.0,2.0,0.0,0.0
1.0,36.0,1.0,1.0,0.0,0.0
1.0,36.0,1.0,2.0,-921.0,5000.0
1.0,36.0,2.0,1.0,921.0,5000.0
1.0,36.0,2.0,2.0,0.0,0.0
1.0,37.0,1.0,1.0,0.0,0.0
1.0,37.0,1.0,2.0,-1082.0,5000.0
1.0,37.0,2.0,1.0,1082.0,5000.0
1.0,37.0,2.0,2.0,0.0,0.0
1.0,38.0,1.0,1.0,0.0,0.0
1.0,38.0,1.0,2.0,-1254.0,5000.0
1.0,38.0,2.0,1.0,1254.0,5000.0
1.0,38.0,2.0,2.0,0.0,0.0
1.0,39.0,1.0,1.0,0.0,0.0
1.0,39.0,1.0,2.0,-1496.1,5000.0
1.0,39.0,2.0,1.0,1496.1,5000.0
1.0,39.0,2.0,2.0,0.0,0.0
1.0,40.0,1.0,1.0,0.0,0.0
1.0,40.0,1.0,2.0,-1770.1,5000.0
1.0,40.0,2.0,1.0,1770.1,5000.0
1.0,40.0,2.0,2.0,0.0,0.0
1.0,41.0,1.0,1.0,0.0,0.0
1.0,41.0,1.0,2.0,-1514.0,5000.0
1.0,41.0,2.0,1.0,1514.0,5000.0
1.0,41.0,2.0,2.0,0.0,0.0
1.0,42.0,1.0,1.0,0.0,0.0
1.0,42.0,1.0,2.0,-1449.0,5000.0
1.0,42.0,2.0,1.0,1449.0,5000.0
1.0,42.0,2.0,2.0,0.0,0.0
1.0,43.0,1.0,1.0,0.0,0.0
1.0,43.0,1.0,2.0,-1185.0,5000.0
1.0,43.0,2.0,1.0,1185.0,5000.0
1.0,43.0,2.0,2.0,0.0,0.0
1.0,44.0,1.0,1.0,0.0,0.0
1.0,44.0,1.0,2.0,-1048.0,5000.0
1.0,44.0,2.0,1.0,1048.0,5000.0
1.0,44.0,2.0,2.0,0.0,0.0
1.0,45.0,1.0,1.0,0.0,0.0
1.0,45.0,1.0,2.0,-1038.0,5000.0
1.0,45.0,2.0,1.0,1038.0,5000.0
1.0,45.0,2.0,2.0,0.0,0.0
1.0,46.0,1.0,1.0,0.0,0.0
1.0,46.0,1.0,2.0,-1191.0000000000002,5000.0
1.0,46.0,2.0,1.0,1191.0000000000002,5000.0
1.0,46.0,2.0,2.0,0.0,0.0
1.0,47.0,1.0,1.0,0.0,0.0
1.0,47.0,1.0,2.0,-1359.0,5000.0
1.0,47.0,2.0,1.0,1359.0,5000.0
1.0,47.0,2.0,2.0,0.0,0.0
1.0,48.0,1.0,1.0,0.0,0.0
1.0,48.0,1.0,2.0,-1566.1000000000004,5000.0
1.0,48.0,2.0,1.0,1566.1000000000004,5000.0
1.0,48.0,2.0,2.0,0.0,0.0
1.0,49.0,1.0,1.0,0.0,0.0
1.0,49.0,1.0,2.0,-1826.1,5000.0
1.0,49.0,2.0,1.0,1826.1,5000.0
1.0,49.0,2.0,2.0,0.0,0.0
1.0,50.0,1.0,1.0,0.0,0.0
1.0,50.0,1.0,2.0,-1987.1000000000004,5000.0
1.0,50.0,2.0,1.0,1987.1000000000004,5000.0
1.0,50.0,2.0,2.0,0.0,0.0
1.0,51.0,1.0,1.0,0.0,0.0
1.0,51.0,1.0,2.0,-1983.1000000000004,5000.0
1.0,51.0,2.0,1.0,1983.1000000000004,5000.0
1.0,51.0,2.0,2.0,0.0,0.0
1.0,52.0,1.0,1.0,0.0,0.0
1.0,52.0,1.0,2.0,-1926.1000000000004,5000.0
1.0,52.0,2.0,1.0,1926.1000000000004,5000.0
1.0,52.0,2.0,2.0,0.0,0.0
1.0,53.0,1.0,1.0,0.0,0.0
1.0,53.0,1.0,2.0,-1747.1000000000004,5000.0
1.0,53.0,2.0,1.0,1747.1000000000004,5000.0
1.0,53.0,2.0,2.0,0.0,0.0
1.0,54.0,1.0,1.0,0.0,0.0
1.0,54.0,1.0,2.0,-1218.1,5000.0
1.0,54.0,2.0,1.0,1218.1,5000.0
1.0,54.0,2.0,2.0,0.0,0.0
1.0,55.0,1.0,1.0,0.0,0.0
1.0,55.0,1.0,2.0,-1382.0,5000.0
1.0,55.0,2.0,1.0,1382.0,5000.0
1.0,55.0,2.0,2.0,0.0,0.0
1.0,56.0,1.0,1.0,0.0,0.0
1.0,56.0,1.0,2.0,-1013.0,5000.0
1.0,56.0,2.0,1.0,1013.0,5000.0
1.0,56.0,2.0,2.0,0.0,0.0
1.0,57.0,1.0,1.0,0.0,0.0
1.0,57.0,1.0,2.0,-1168.0,5000.0
1.0,57.0,2.0,1.0,1168.0,5000.0
1.0,57.0,2.0,2.0,0.0,0.0
1.0,58.0,1.0,1.0,0.0,0.0
1.0,58.0,1.0,2.0,-1048.0,5000.0
1.0,58.0,2.0,1.0,1048.0,5000.0
1.0,58.0,2.0,2.0,0.0,0.0
1.0,59.0,1.0,1.0,0.0,0.0
1.0,59.0,1.0,2.0,-1187.0000000000005,5000.0
1.0,59.0,2.0,1.0,1187.0000000000005,5000.0
1.0,59.0,2.0,2.0,0.0,0.0
1.0,60.0,1.0,1.0,0.0,0.0
1.0,60.0,1.0,2.0,-1268.0,5000.0
1.0,60.0,2.0,1.0,1268.0,5000.0
1.0,60.0,2.0,2.0,0.0,0.0
1.0,61.0,1.0,1.0,0.0,0.0
1.0,61.0,1.0,2.0,-1385.0,5000.0
1.0,61.0,2.0,1.0,1385.0,5000.0
1.0,61.0,2.0,2.0,0.0,0.0
1.0,62.0,1.0,1.0,0.0,0.0
1.0,62.0,1.0,2.0,-1514.0000000000002,5000.0
1.0,62.0,2.0,1.0,1514.0000000000002,5000.0
1.0,62.0,2.0,2.0,0.0,0.0
1.0,63.0,1.0,1.0,0.0,0.0
1.0,63.0,1.0,2.0,-1540.0,5000.0
1.0,63.0,2.0,1.0,1540.0,5000.0
1.0,63.0,2.0,2.0,0.0,0.0
1.0,64.0,1.0,1.0,0.0,0.0
1.0,64.0,1.0,2.0,-1532.1,5000.0
1.0,64.0,2.0,1.0,1532.1,5000.0
1.0,64.0,2.0,2.0,0.0,0.0
1.0,65.0,1.0,1.0,0.0,0.0
1.0,65.0,1.0,2.0,-1578.0000000000002,5000.0
1.0,65.0,2.0,1.0,1578.0000000000002,5000.0
1.0,65.0,2.0,2.0,0.0,0.0
1.0,66.0,1.0,1.0,0.0,0.0
1.0,66.0,1.0,2.0,-1240.0,5000.0
1.0,66.0,2.0,1.0,1240.0,5000.0
1.0,66.0,2.0,2.0,0.0,0.0
1.0,67.0,1.0,1.0,0.0,0.0
1.0,67.0,1.0,2.0,-1223.0,5000.0
1.0,67.0,2.0,1.0,1223.0,5000.0
1.0,67.0,2.0,2.0,0.0,0.0
1.0,68.0,1.0,1.0,0.0,0.0
1.0,68.0,1.0,2.0,-1112.0,5000.0
1.0,68.0,2.0,1.0,1112.0,5000.0
1.0,68.0,2.0,2.0,0.0,0.0
1.0,69.0,1.0,1.0,0.0,0.0
1.0,69.0,1.0,2.0,-1004.0,5000.0
1.0,69.0,2.0,1.0,1004.0,5000.0
1.0,69.0,2.0,2.0,0.0,0.0
1.0,70.0,1.0,1.0,0.0,0.0
1.0,70.0,1.0,2.0,-1110.0,5000.0
1.0,70.0,2.0,1.0,1110.0,5000.0
1.0,70.0,2.0,2.0,0.0,0.0
1.0,71.0,1.0,1.0,0.0,0.0
1.0,71.0,1.0,2.0,-1294.0,5000.0
1.0,71.0,2.0,1.0,1294.0,5000.0
1.0,71.0,2.0,2.0,0.0,0.0
1.0,72.0,1.0,1.0,0.0,0.0
1.0,72.0,1.0,2.0,-1593.0000000000002,5000.0
1.0,72.0,2.0,1.0,1593.0000000000002,5000.0
1.0,72.0,2.0,2.0,0.0,0.0
1.0,73.0,1.0,1.0,0.0,0.0
1.0,73.0,1.0,2.0,-1876.0000000000002,5000.0
1.0,73.0,2.0,1.0,1876.0000000000002,5000.0
1.0,73.0,2.0,2.0,0.0,0.0
1.0,74.0,1.0,1.0,0.0,0.0
1.0,74.0,1.0,2.0,-2075.1477526679932,5000.0
1.0,74.0,2.0,1.0,2075.1477526679932,5000.0
1.0,74.0,2.0,2.0,0.0,0.0
1.0,75.0,1.0,1.0,0.0,0.0
1.0,75.0,1.0,2.0,-2221.0,5000.0
1.0,75.0,2.0,1.0,2221.0,5000.0
1.0,75.0,2.0,2.0,0.0,0.0
1.0,76.0,1.0,1.0,0.0,0.0
1.0,76.0,1.0,2.0,-2174.0000000000005,5000.0
1.0,76.0,2.0,1.0,2174.0000000000005,5000.0
1.0,76.0,2.0,2.0,0.0,0.0
1.0,77.0,1.0,1.0,0.0,0.0
1.0,77.0,1.0,2.0,-2029.0000000000005,5000.0
1.0,77.0,2.0,1.0,2029.0000000000005,5000.0
1.0,77.0,2.0,2.0,0.0,0.0
1.0,78.0,1.0,1.0,0.0,0.0
1.0,78.0,1.0,2.0,-1498.0,5000.0
1.0,78.0,2.0,1.0,1498.0,5000.0
1.0,78.0,2.0,2.0,0.0,0.0
1.0,79.0,1.0,1.0,0.0,0.0
1.0,79.0,1.0,2.0,-888.0,5000.0
1.0,79.0,2.0,1.0,888.0,5000.0
1.0,79.0,2.0,2.0,0.0,0.0
1.0,80.0,1.0,1.0,0.0,0.0
1.0,80.0,1.0,2.0,-606.0000000000405,5000.0
1.0,80.0,2.0,1.0,606.0000000000405,5000.0
1.0,80.0,2.0,2.0,0.0,0.0
1.0,81.0,1.0,1.0,0.0,0.0
1.0,81.0,1.0,2.0,-715.0000000000405,5000.0
1.0,81.0,2.0,1.0,715.0000000000405,5000.0
1.0,81.0,2.0,2.0,0.0,0.0
1.0,82.0,1.0,1.0,0.0,0.0
1.0,82.0,1.0,2.0,-846.0000000000406,5000.0
1.0,82.0,2.0,1.0,846.0000000000406,5000.0
1.0,82.0,2.0,2.0,0.0,0.0
1.0,83.0,1.0,1.0,0.0,0.0
1.0,83.0,1.0,2.0,-1043.0,5000.0
1.0,83.0,2.0,1.0,1043.0,5000.0
1.0,83.0,2.0,2.0,0.0,0.0
1.0,84.0,1.0,1.0,0.0,0.0
1.0,84.0,1.0,2.0,-1191.0,5000.0
1.0,84.0,2.0,1.0,1191.0,5000.0
1.0,84.0,2.0,2.0,0.0,0.0
1.0,85.0,1.0,1.0,0.0,0.0
1.0,85.0,1.0,2.0,-1464.0,5000.0
1.0,85.0,2.0,1.0,1464.0,5000.0
1.0,85.0,2.0,2.0,0.0,0.0
1.0,86.0,1.0,1.0,0.0,0.0
1.0,86.0,1.0,2.0,-1509.0,5000.0
1.0,86.0,2.0,1.0,1509.0,5000.0
1.0,86.0,2.0,2.0,0.0,0.0
1.0,87.0,1.0,1.0,0.0,0.0
1.0,87.0,1.0,2.0,-1659.0000000000002,5000.0
1.0,87.0,2.0,1.0,1659.0000000000002,5000.0
1.0,87.0,2.0,2.0,0.0,0.0
1.0,88.0,1.0,1.0,0.0,0.0
1.0,88.0,1.0,2.0,-1809.0000000000002,5000.0
1.0,88.0,2.0,1.0,1809.0000000000002,5000.0
1.0,88.0,2.0,2.0,0.0,0.0
1.0,89.0,1.0,1.0,0.0,0.0
