Day,Time period,Source,Sink,Flow,TransCap
1.0,49.0,1.0,1.0,0.0,0.0
1.0,49.0,1.0,2.0,-1826.0000000000002,5000.0
1.0,49.0,2.0,1.0,1826.0000000000002,5000.0
1.0,49.0,2.0,2.0,0.0,0.0
1.0,50.0,1.0,1.0,0.0,0.0
1.0,50.0,1.0,2.0,-1987.0000000000005,5000.0
1.0,50.0,2.0,1.0,1987.0000000000005,5000.0
1.0,50.0,2.0,2.0,0.0,0.0
1.0,51.0,1.0,1.0,0.0,0.0
1.0,51.0,1.0,2.0,-1983.0,5000.0
1.0,51.0,2.0,1.0,1983.0,5000.0
1.0,51.0,2.0,2.0,0.0,0.0
1.0,52.0,1.0,1.0,0.0,0.0
1.0,52.0,1.0,2.0,-1926.0,5000.0
1.0,52.0,2.0,1.0,1926.0,5000.0
1.0,52.0,2.0,2.0,0.0,0.0
1.0,53.0,1.0,1.0,0.0,0.0
1.0,53.0,1.0,2.0,-1747.0000000000002,5000.0
1.0,53.0,2.0,1.0,1747.0000000000002,5000.0
1.0,53.0,2.0,2.0,0.0,0.0
1.0,54.0,1.0,1.0,0.0,0.0
1.0,54.0,1.0,2.0,-1218.0,5000.0
1.0,54.0,2.0,1.0,1218.0,5000.0
1.0,54.0,2.0,2.0,0.0,0.0
1.0,55.0,1.0,1.0,0.0,0.0
1.0,55.0,1.0,2.0,-1320.0,5000.0
1.0,55.0,2.0,1.0,1320.0,5000.0
1.0,55.0,2.0,2.0,0.0,0.0
1.0,56.0,1.0,1.0,0.0,0.0
1.0,56.0,1.0,2.0,-1007.0,5000.0
1.0,56.0,2.0,1.0,1007.0,5000.0
1.0,56.0,2.0,2.0,0.0,0.0
1.0,57.0,1.0,1.0,0.0,0.0
1.0,57.0,1.0,2.0,-1162.0,5000.0
1.0,57.0,2.0,1.0,1162.0,5000.0
1.0,57.0,2.0,2.0,0.0,0.0
1.0,58.0,1.0,1.0,0.0,0.0
1.0,58.0,1.0,2.0,-1098.0,5000.0
1.0,58.0,2.0,1.0,1098.0,5000.0
1.0,58.0,2.0,2.0,0.0,0.0
1.0,59.0,1.0,1.0,0.0,0.0
1.0,59.0,1.0,2.0,-1181.0,5000.0
1.0,59.0,2.0,1.0,1181.0,5000.0
1.0,59.0,2.0,2.0,0.0,0.0
1.0,60.0,1.0,1.0,0.0,0.0
1.0,60.0,1.0,2.0,-1262.0,5000.0
1.0,60.0,2.0,1.0,1262.0,5000.0
1.0,60.0,2.0,2.0,0.0,0.0
1.0,61.0,1.0,1.0,0.0,0.0
1.0,61.0,1.0,2.0,-1379.0,5000.0
1.0,61.0,2.0,1.0,1379.0,5000.0
1.0,61.0,2.0,2.0,0.0,0.0
1.0,62.0,1.0,1.0,0.0,0.0
1.0,62.0,1.0,2.0,-1508.0000000000002,5000.0
1.0,62.0,2.0,1.0,1508.0000000000002,5000.0
1.0,62.0,2.0,2.0,0.0,0.0
1.0,63.0,1.0,1.0,0.0,0.0
1.0,63.0,1.0,2.0,-1484.0,5000.0
1.0,63.0,2.0,1.0,1484.0,5000.0
1.0,63.0,2.0,2.0,0.0,0.0
1.0,64.0,1.0,1.0,0.0,0.0
1.0,64.0,1.0,2.0,-1526.8000000000002,5000.0
1.0,64.0,2.0,1.0,1526.8000000000002,5000.0
1.0,64.0,2.0,2.0,0.0,0.0
1.0,65.0,1.0,1.0,0.0,0.0
1.0,65.0,1.0,2.0,-1572.0,5000.0
1.0,65.0,2.0,1.0,1572.0,5000.0
1.0,65.0,2.0,2.0,0.0,0.0
1.0,66.0,1.0,1.0,0.0,0.0
1.0,66.0,1.0,2.0,-1234.0,5000.0
1.0,66.0,2.0,1.0,1234.0,5000.0
1.0,66.0,2.0,2.0,0.0,0.0
1.0,67.0,1.0,1.0,0.0,0.0
1.0,67.0,1.0,2.0,-1217.0,5000.0
1.0,67.0,2.0,1.0,1217.0,5000.0
1.0,67.0,2.0,2.0,0.0,0.0
1.0,68.0,1.0,1.0,0.0,0.0
1.0,68.0,1.0,2.0,-1106.0,5000.0
1.0,68.0,2.0,1.0,1106.0,5000.0
1.0,68.0,2.0,2.0,0.0,0.0
1.0,69.0,1.0,1.0,0.0,0.0
1.0,69.0,1.0,2.0,-998.0,5000.0
1.0,69.0,2.0,1.0,998.0,5000.0
1.0,69.0,2.0,2.0,0.0,0.0
1.0,70.0,1.0,1.0,0.0,0.0
1.0,70.0,1.0,2.0,-1160.0,5000.0
1.0,70.0,2.0,1.0,1160.0,5000.0
1.0,70.0,2.0,2.0,0.0,0.0
1.0,71.0,1.0,1.0,0.0,0.0
1.0,71.0,1.0,2.0,-1294.0,5000.0
1.0,71.0,2.0,1.0,1294.0,5000.0
1.0,71.0,2.0,2.0,0.0,0.0
1.0,72.0,1.0,1.0,0.0,0.0
1.0,72.0,1.0,2.0,-1593.0000000000002,5000.0
1.0,72.0,2.0,1.0,1593.0000000000002,5000.0
1.0,72.0,2.0,2.0,0.0,0.0
1.0,73.0,1.0,1.0,0.0,0.0
1.0,73.0,1.0,2.0,-1896.0000000000005,5000.0
1.0,73.0,2.0,1.0,1896.0000000000005,5000.0
1.0,73.0,2.0,2.0,0.0,0.0
1.0,74.0,1.0,1.0,0.0,0.0
1.0,74.0,1.0,2.0,-2095.0,5000.0
1.0,74.0,2.0,1.0,2095.0,5000.0
1.0,74.0,2.0,2.0,0.0,0.0
1.0,75.0,1.0,1.0,0.0,0.0
1.0,75.0,1.0,2.0,-2221.0000000000005,5000.0
1.0,75.0,2.0,1.0,2221.0000000000005,5000.0
1.0,75.0,2.0,2.0,0.0,0.0
1.0,76.0,1.0,1.0,0.0,0.0
1.0,76.0,1.0,2.0,-2174.0,5000.0
1.0,76.0,2.0,1.0,2174.0,5000.0
1.0,76.0,2.0,2.0,0.0,0.0
1.0,77.0,1.0,1.0,0.0,0.0
1.0,77.0,1.0,2.0,-2029.0000000000005,5000.0
1.0,77.0,2.0,1.0,2029.0000000000005,5000.0
