Day,Hour,GeneratorID,VariableCost,MinPowerOut,MaxPowerOut,Output,On/off,ShutDown,Startup
1,18,1,ALLE_UN01_0,85,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18,2,ALLE_UN02_0,85,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18,3,ALLE_UN03_0,140,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18,4,ALLE_UN04_0,140,267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18,5,ALLE_UN05_0,140,259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18,6,ASHV_CT03_0,70,185,0.0,0.0,0.0,0.0,0.0,185.0,0.0
1,18,7,ASHV_CT03_1,70,185,0.0,0.0,0.0,0.0,0.0,300.0,0.0
1,18,8,ASHV_CT04_0,70,185,0.0,0.0,0.0,0.0,0.0,185.0,0.0
1,18,9,ASHV_CT04_1,70,185,0.0,0.0,0.0,0.0,0.0,300.0,0.0
1,18,10,BELE_UN01_0,300,1110,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18,11,BELE_UN02_0,300,1110,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18,12,BLEW_CT01_0,12,68,0.0,0.0,0.0,0.0,0.0,68.0,0.0
1,18,13,BRUN_UN01_0,975,975,975.0,1.0,0.0,0.0,0.0,0.0,0.0
1,18,14,BRUN_UN02_0,953,953,953.0,1.0,0.0,0.0,0.0,0.0,0.0
1,18,15,BRVR_CT01_0,100,178,0.0,0.0,0.0,0.0,0.0,162.0,0.0
1,18,16,BRVR_CT02_0,100,178,0.0,0.0,0.0,0.0,0.0,162.0,0.0
1,18,17,BRVR_CT03_0,100,178,0.0,0.0,0.0,0.0,0.0,162.0,0.0
1,18,18,BRVR_CT04_0,100,178,0.0,0.0,0.0,0.0,0.0,162.0,0.0
1,18,19,BRVR_CT05_0,100,178,0.0,0.0,0.0,0.0,0.0,162.0,0.0
1,18,20,BUCK_CC01_1,150,358,321.0999999999999,1.0,0.0,0.0,36.90000000000009,0.0,0.0
1,18,21,BUCK_CC01_2,105,358,240.0,1.0,0.0,1.0,0.0,0.0,0.0
