Day,Hour,GeneratorID,VariableCost,MinPowerOut,MaxPowerOut,Output,On/off,ShutDown,Startup
1,30,83,NCAP_CT04_0,56,56,0.0,0.0,-0.0,-0.0
1,30,84,NCAP_CT05_0,56,56,0.0,0.0,-0.0,-0.0
1,30,85,NCAP_CT06_0,56,56,0.0,0.0,-0.0,-0.0
1,30,86,NCHP_CT01_0,56,56,0.0,-0.0,-0.0,-0.0
1,30,87,NCHP_CT02_0,56,56,0.0,0.0,-0.0,-0.0
1,30,88,NCHP_CT03_0,56,56,0.0,-0.0,-0.0,-0.0
1,30,89,NCHP_CT04_0,56,56,0.0,0.0,-0.0,-0.0
1,30,90,NCHP_CT05_0,56,56,0.0,0.0,-0.0,-0.0
1,30,91,OCON_UN01_0,865,865,865.0,1.0,0.0,0.0
1,30,92,OCON_UN02_0,872,872,872.0,1.0,0.0,0.0
1,30,93,OCON_UN03_0,881,881,881.0,1.0,0.0,0.0
1,30,94,RCKN_CT01_0,133,179,0.0,-0.0,0.0,-0.0
1,30,95,RCKN_CT02_0,133,179,0.0,-0.0,0.0,-0.0
1,30,96,RCKN_CT03_0,133,179,0.0,-0.0,0.0,-0.0
1,30,97,RCKN_CT04_0,133,179,0.0,-0.0,0.0,-0.0
1,30,98,RCKN_CT05_0,133,179,0.0,-0.0,0.0,-0.0
1,30,99,RCOG_CG01_0,0,0,0.0,0.0,0.0,0.0
1,30,100,RCOP_CC04_1,169,276,168.99999999999994,1.0,0.0,0.0
1,30,101,RCOP_CC04_2,179,277,0.0,0.0,0.0,0.0
1,30,102,RCOP_CC05_1,200,340,235.0,1.0,0.0,0.0
1,30,103,RCOP_CC05_2,225,340,224.99999999999994,1.0,0.0,0.0
1,30,104,RCOP_CT01_0,100,189,0.0,-0.0,0.0,-0.0
1,30,105,RCOP_CT02_0,100,187,0.0,-0.0,0.0,-0.0
1,30,106,RCOP_CT03_0,100,185,0.0,-0.0,0.0,-0.0
1,30,107,RCOP_CT04_0,100,186,0.0,-0.0,0.0,-0.0
1,30,108,RCOP_CT06_0,100,187,0.0,-0.0,0.0,-0.0
